Sj;Group;Age;Sleep;Mouse;Cell;s1xs2;s2xs3;s3xs4;s4xs5;Type
21;Old_SD;Old;restriction;R113SD;T6_3;-0,150317548;0,63501121;-0,324349761;0,074036003;Unstable
22;Old_SD;Old;restriction;R115SD;T1_5;0,158412036;0,587952896;0,134461336;0,115952405;Unstable
23;Old_SD;Old;restriction;R115SD;T2_4;0,25963071;-0,053449615;0,448309111;0,441634887;Unstable
24;Old_SD;Old;restriction;R115SD;T4_4;0,493348647;0,308568084;0,508183156;-0,044223392;Unstable
25;Old_SD;Old;restriction;R115SD;T4_6;0,680670512;0,646460819;0,196530274;0,466732097;Unstable
26;Old_SD;Old;restriction;R115SD;T5_1;0,407723225;0,53959756;-0,121195658;0,027639248;Unstable
27;Old_SD;Old;restriction;R115SD;T5_4;0,155801835;0,451456475;0,219100578;0,404031936;Unstable
28;Old_SD;Old;restriction;R75SD;T2_4;0,251835327;-0,188470322;0,582645958;0,054971218;Unstable
29;Old_SD;Old;restriction;R75SD;T2_7;0,051765018;0,305959943;0,593383281;-0,30510067;Unstable
30;Young_C;Young;control;AK8C;T1_1;-0,15581272;0,601705181;0,213324392;0,140678559;Unstable
31;Young_C;Young;control;AK8C;T5_1;0,395445627;0,218039843;0,706610459;0,369505334;Unstable
32;Young_C;Young;control;AK8C;T5_2;0,141384434;0,713232148;-0,566084766;0,91081362;Unstable
33;Young_C;Young;control;AK8C;T5_3;0,385989209;0,247393179;0,812101156;0,180876684;Unstable
34;Young_C;Young;control;AK8C;T5_5;0,488727191;-0,090540421;0,272483077;-0,148140549;Unstable
35;Young_C;Young;control;R112C;T1_2;0,109964795;-0,351550289;-0,472291647;-0,03005166;Unstable
36;Young_C;Young;control;R112C;T6_1;0,021519528;-0,484210854;0,281678718;-0,330213439;Unstable
37;Young_C;Young;control;R57CTT3;T3_3;-0,334596852;0,012027758;0,673437988;-0,019981748;Unstable
38;Young_C;Young;control;R57CTT3;T3_4;0,351978865;0,339286382;0,427930751;0,240165712;Unstable
39;Young_C;Young;control;R57CTT3;T6_1;-0,080653856;0,273726949;0,115645671;0,367744928;Unstable
40;Young_C;Young;control;R81C;T5_2;-0,364898498;-0,366727013;0,554444508;-0,295855374;Unstable
41;Young_C;Young;control;R81C;T5_4;-0,01144136;-0,016836751;0,715370337;-0,169325219;Unstable
